[Mon Oct  6 21:56:09 2025] Query: google.com | Type: HOSTNAME_TO_IP | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: google.com | Type: HOSTNAME_TO_IP | Result: 142.250.198.174
[Mon Oct  6 21:56:09 2025] Query: facebook.com | Type: HOSTNAME_TO_IP | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: facebook.com | Type: HOSTNAME_TO_IP | Result: 163.70.159.35
[Mon Oct  6 21:56:09 2025] Query: 8.8.8.8 | Type: IP_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: 8.8.8.8 | Type: IP_TO_HOSTNAME | Result: dns.google
[Mon Oct  6 21:56:09 2025] Query: 127.0.0.1 | Type: IP_TO_HOSTNAME | Result: Special IP - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: 127.0.0.1 | Type: IP_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: 127.0.0.1 | Type: IP_TO_HOSTNAME | Result: localhost
[Mon Oct  6 21:56:09 2025] Query: 192.168.1.1 | Type: IP_TO_HOSTNAME | Result: Special IP - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: 192.168.1.1 | Type: IP_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: 192.168.1.1 | Type: IP_TO_HOSTNAME | Result: Not found
[Mon Oct  6 21:56:09 2025] Query: 10.0.0.1 | Type: IP_TO_HOSTNAME | Result: Special IP - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: 10.0.0.1 | Type: IP_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: 10.0.0.1 | Type: IP_TO_HOSTNAME | Result: Not found
[Mon Oct  6 21:56:09 2025] Query: 224.0.0.1 | Type: IP_TO_HOSTNAME | Result: Special IP - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: 224.0.0.1 | Type: IP_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: 224.0.0.1 | Type: IP_TO_HOSTNAME | Result: all-systems.mcast.net
[Mon Oct  6 21:56:09 2025] Query: youtube.com | Type: HOSTNAME_TO_IP | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: youtube.com | Type: HOSTNAME_TO_IP | Result: 142.250.197.206
[Mon Oct  6 21:56:09 2025] Query: 192.168.999.1 | Type: INVALID_IP | Result: Invalid address format
[Mon Oct  6 21:56:09 2025] Query: invalid.hostname.test | Type: HOSTNAME_TO_IP | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: invalid.hostname.test | Type: HOSTNAME_TO_IP | Result: Not found
[Mon Oct  6 21:56:09 2025] Query: 2001:db8::1 | Type: IPv6_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: 2001:db8::1 | Type: IPv6_TO_HOSTNAME | Result: 2001:db8::1
[Mon Oct  6 21:56:09 2025] Query: 2001:4860:4860::8888 | Type: IPv6_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: 2001:4860:4860::8888 | Type: IPv6_TO_HOSTNAME | Result: dns.google
[Mon Oct  6 21:56:09 2025] Query: ::1 | Type: IPv6_TO_HOSTNAME | Result: Special IPv6 - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: ::1 | Type: IPv6_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: ::1 | Type: IPv6_TO_HOSTNAME | Result: ip6-localhost
[Mon Oct  6 21:56:09 2025] Query: fe80::1 | Type: IPv6_TO_HOSTNAME | Result: Special IPv6 - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: fe80::1 | Type: IPv6_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: fe80::1 | Type: IPv6_TO_HOSTNAME | Result: Not found
[Mon Oct  6 21:56:09 2025] Query: fc00::1 | Type: IPv6_TO_HOSTNAME | Result: Special IPv6 - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: fc00::1 | Type: IPv6_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: fc00::1 | Type: IPv6_TO_HOSTNAME | Result: fc00::1
[Mon Oct  6 21:56:09 2025] Query: ff02::1 | Type: IPv6_TO_HOSTNAME | Result: Special IPv6 - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: ff02::1 | Type: IPv6_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: ff02::1 | Type: IPv6_TO_HOSTNAME | Result: ip6-allnodes
[Mon Oct  6 21:56:09 2025] Query: github.com | Type: HOSTNAME_TO_IP | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: github.com | Type: HOSTNAME_TO_IP | Result: 20.205.243.166
[Mon Oct  6 21:56:09 2025] Query: 127.0.0.2 | Type: IP_TO_HOSTNAME | Result: Special IP - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: 127.0.0.2 | Type: IP_TO_HOSTNAME | Result: Querying...
[Mon Oct  6 21:56:09 2025] Query: 127.0.0.2 | Type: IP_TO_HOSTNAME | Result: namng-ASUS
[Mon Oct  6 21:56:09 2025] Query: 172.16.0.1 | Type: IP_TO_HOSTNAME | Result: Special IP - may not have DNS record
[Mon Oct  6 21:56:09 2025] Query: 172.16.0.1 | Type: IP_TO_HOSTNAME | Result: Querying...
