Client: namnk | Type=0x10 | Length=5 | Value="hello"
Client: namnk | Type=0x10 | Length=5 | Value="hello"
Client: namnk | Type=0x10 | Length=8 | Value="hheheheh"
Client: namnk | Type=0x10 | Length=8 | Value="hheheheh"
Client: namnk | Type=0x10 | Length=25 | Value="Nguyen Khanh Nam 20225749"
Client: namnk | Type=0x10 | Length=25 | Value="Nguyen Khanh Nam 20225749"
Client: namnk | Type=0x10 | Length=4 | Value="helo"
Client: namnk | Type=0x10 | Length=4 | Value="helo"
Client: namnk | Type=0x10 | Length=5 | Value="hello"
Client: namnk | Type=0x10 | Length=5 | Value="hello"
Client: namnk | Type=0x10 | Length=5 | Value="hello"
Client: namnk | Type=0x10 | Length=29 | Value="ok hom nay la ngay 3 thang 11"
Client: namnk | Type=0x10 | Length=5 | Value="hello"
Client: namnk | Type=0x10 | Length=4 | Value="isme"
Client: namnk | Type=0x10 | Length=4 | Value="okok"
Client: namnk | Type=0x10 | Length=25 | Value="nguyen khanh nam 20000000"
Client: namnk | Type=0x10 | Length=34 | Value="OK namnk da dang nhap vao he thong"
Client: namnk | Type=0x10 | Length=1 | Value="1"
Client: namnk | Type=0x10 | Length=1 | Value="2"
Client: namnk | Type=0x10 | Length=1 | Value="3"
Client: namnk | Type=0x10 | Length=3 | Value="bye"
Client: namnk | Type=0x10 | Length=2 | Value="12"
Client: namnk | Type=0x10 | Length=2 | Value="12"
Client: namnk | Type=0x10 | Length=3 | Value="bye"
Client: namnk | Type=0x10 | Length=8 | Value="namnk123"
Client: namnk | Type=0x10 | Length=5 | Value="hello"
Client: namnk | Type=0x10 | Length=11 | Value="hhehehehehe"
Client: namnk | Type=0x10 | Length=7 | Value="yhehehe"
Client: namnk | Type=0x10 | Length=1 | Value="e"
Client: namnk | Type=0x10 | Length=1 | Value="e"
Client: namnk | Type=0x10 | Length=2 | Value="ee"
