THREAD: 128869845690048 | Client: admin | Type=0x10 | Length=4 | Value="helo"
THREAD: 128869854082752 | Client: admin | Type=0x10 | Length=2 | Value="ok"
THREAD: 128869854082752 | Client: admin | Type=0x10 | Length=7 | Value="ok luon"
THREAD: 128869845690048 | Client: admin | Type=0x10 | Length=2 | Value="ok"
THREAD: 128869845690048 | Client: admin | Type=0x10 | Length=2 | Value="0k"
THREAD: 138598303131328 | Client: namnk | Type=0x10 | Length=5 | Value="hello"
THREAD: 138598311524032 | Client: admin | Type=0x10 | Length=13 | Value="ok luon admin"
THREAD: 138598311524032 | Client: admin | Type=0x10 | Length=2 | Value="ok"
THREAD: 138598311524032 | Client: admin | Type=0x10 | Length=1 | Value="a"
THREAD: 138598311524032 | Client: admin | Type=0x10 | Length=1 | Value="a"
THREAD: 138598311524032 | Client: admin | Type=0x10 | Length=1 | Value="a"
THREAD: 138598311524032 | Client: admin | Type=0x10 | Length=1 | Value="a"
THREAD: 138598303131328 | Client: namnk | Type=0x10 | Length=5 | Value="hello"
THREAD: 138598303131328 | Client: namnk | Type=0x10 | Length=2 | Value="ok"
THREAD: 138598303131328 | Client: namnk | Type=0x10 | Length=5 | Value="clear"
THREAD: 138598303131328 | Client: namnk | Type=0x10 | Length=3 | Value="bye"
THREAD: 138598311524032 | Client: admin | Type=0x10 | Length=3 | Value="bye"
